,Wolves,Sheep,ModelParams,Run
66,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
67,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
68,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
69,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
70,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
71,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
72,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
73,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
74,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
75,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
76,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
77,2,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
78,2,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
79,2,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
80,2,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
81,2,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
82,2,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
83,2,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
84,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
85,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
86,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
87,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
88,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
89,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
90,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
91,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
92,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
93,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
94,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
95,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
96,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
97,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
98,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
99,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
100,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
101,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
